0	0.1	0	0.1	0	0.1	0
5	0.0604321	0.0041215	0.104913	-0.0085193	0.0599161	0.00933521
10	0.0363479	0.00498855	0.109252	-0.0178625	0.0350273	0.0111877
15	0.0217571	0.00452163	0.112973	-0.0280142	0.0199417	0.0099745
20	0.012959	0.00363749	0.116	-0.0389626	0.0110162	0.00783913
25	0.00767921	0.00273914	0.118237	-0.0506894	0.00586784	0.00572621
30	0.00452609	0.00197711	0.119583	-0.0631659	0.00298052	0.00397936
35	0.00265248	0.00138527	0.119933	-0.0763531	0.00141377	0.00266296
40	0.001545	0.000949303	0.119178	-0.0902006	0.000598059	0.00172781
45	0.000893969	0.000639358	0.11721	-0.104646	0.000196726	0.00109125
50	0.000513512	0.000424607	0.11392	-0.119615	1.57756e-05	0.000672309
55	0.00029258	0.000278711	0.109201	-0.135021	-5.34674e-05	0.000404358
60	0.00016517	0.00018113	0.102945	-0.150762	-6.98924e-05	0.00023732
65	9.22542e-05	0.000116698	0.0950528	-0.166724	-6.41054e-05	0.000135687
70	5.08835e-05	7.46101e-05	0.0854259	-0.182778	-5.1126e-05	7.53229e-05
75	2.76407e-05	4.73735e-05	0.0739737	-0.198782	-3.76973e-05	4.03616e-05
80	1.47318e-05	2.98911e-05	0.0606132	-0.214578	-2.63763e-05	2.06651e-05
85	7.66007e-06	1.8751e-05	0.045271	-0.229994	-1.77469e-05	9.91929e-06
90	3.85074e-06	1.16991e-05	0.0278845	-0.244842	-1.15683e-05	4.2859e-06
95	1.84226e-06	7.26205e-06	0.00840406	-0.258923	-7.33717e-06	1.48727e-06
100	8.1296e-07	4.48586e-06	-0.0132051	-0.272022	-4.53866e-06	2.05492e-07
105	3.06171e-07	2.75799e-06	-0.0369612	-0.283909	-2.74089e-06	-3.01132e-07
110	7.15042e-08	1.68793e-06	-0.0628641	-0.294346	-1.61557e-06	-4.36725e-07
115	-2.60625e-08	1.02843e-06	-0.0908932	-0.30308	-9.28118e-07	-4.12803e-07
120	-5.78172e-08	6.23833e-07	-0.121005	-0.309849	-5.18115e-07	-3.34204e-07
125	-6.0361e-08	3.7674e-07	-0.153133	-0.314382	-2.7958e-07	-2.48767e-07
130	-5.17632e-08	2.26506e-07	-0.187183	-0.316401	-1.44502e-07	-1.75259e-07
135	-4.04267e-08	1.35566e-07	-0.223033	-0.315621	-7.03493e-08	-1.18571e-07
140	-2.98735e-08	8.07613e-08	-0.260531	-0.311757	-3.11612e-08	-7.76587e-08
145	-2.12749e-08	4.78815e-08	-0.299494	-0.30452	-1.14695e-08	-4.94708e-08
150	-1.47529e-08	2.82453e-08	-0.339706	-0.293625	-2.28349e-09	-3.07324e-08
155	-1.00246e-08	1.65737e-08	-0.380914	-0.27879	1.48269e-09	-1.86402e-08
160	-6.7025e-09	9.66996e-09	-0.422833	-0.259742	2.61744e-09	-1.10387e-08
165	-4.4222e-09	5.60747e-09	-0.465137	-0.23622	2.59201e-09	-6.37507e-09
170	-2.88514e-09	3.22994e-09	-0.507465	-0.207977	2.14403e-09	-3.5812e-09
175	-1.86416e-09	1.84667e-09	-0.549416	-0.174785	1.6164e-09	-1.94777e-09
180	-1.19422e-09	1.04698e-09	-0.590552	-0.136439	1.14875e-09	-1.01752e-09
185	-7.59197e-10	5.87911e-10	-0.630396	-0.0927614	7.82313e-10	-5.03294e-10
190	-4.79276e-10	3.26438e-10	-0.668432	-0.0436081	5.15119e-10	-2.29072e-10
195	-3.00613e-10	1.78832e-10	-0.704109	0.0111296	3.29653e-10	-8.95073e-11
200	-1.87412e-10	9.63608e-11	-0.73684	0.0715183	2.0564e-10	-2.3071e-11
205	-1.16169e-10	5.08395e-11	-0.766002	0.137578	1.25221e-10	5.2387e-12
210	-7.16121e-11	2.60812e-11	-0.790943	0.209275	7.44477e-11	1.47438e-11
215	-4.39092e-11	1.28613e-11	-0.810982	0.286523	4.31727e-11	1.57307e-11
220	-2.67818e-11	5.96904e-12	-0.825412	0.369168	2.43628e-11	1.34222e-11
225	-1.62502e-11	2.49081e-12	-0.833507	0.456993	1.33214e-11	1.02955e-11
230	-9.80863e-12	8.16993e-13	-0.834524	0.549707	7.00609e-12	7.39913e-12
235	-5.88922e-12	7.11139e-14	-0.827707	0.646941	3.49783e-12	5.07905e-12
