time,phi1_r,phi1_i,dphi1_r,dphi1_i,phi2_r,phi2_i,dphi2_r,dphi2_i,phi3_r,phi3_i,dphi3_r,dphi3_i,x_r,x_i,dx_r,dx_i,y_r,y_i,dy_r,dy_i,
99,1.57768e-05,-2.7916e-07,-1.21382e-06,3.59148e-08,0.190192,-0.0262396,0.00186754,-0.000511547,4.74925e-05,2.78417e-06,-3.54829e-06,-1.53803e-07,0.702898,0,0.297596,0,-323.595,0,-4.40739,-0,
100,1.46106e-05,-2.45081e-07,-1.11993e-06,3.23017e-08,0.192068,-0.026755,0.00188563,-0.000519159,4.40779e-05,2.6343e-06,-3.28447e-06,-1.45981e-07,0.670219,0,-0.475113,0,-326.826,0,-1.92573,-0,
0,0.1,0,-0.0096,-0.000131,0.1,0,-0.004,-0.000131,0.1,0,-0.006,-0.000131,0.628319,0,0.25,0,1.88496,0,-3.89159,-0,
1,0.0908458,-0.000118294,-0.00872228,-0.000106223,0.0963538,-0.000134984,-0.00330829,-0.000138411,0.094042,-0.000116142,-0.00590303,-0.000102117,0.625516,0,-0.142791,0,-1.32062,0,-2.53113,-0,
2,0.082529,-0.000213633,-0.00792378,-8.50079e-05,0.0933533,-0.000275873,-0.00270699,-0.000142966,0.0882159,-0.000205788,-0.00574014,-7.78996e-05,0.712704,0,0.251065,0,-4.91073,0,-4.61244,-0,
3,0.0749741,-0.000289345,-0.00719751,-6.68997e-05,0.0909127,-0.000420241,-0.00218695,-0.000145489,0.0825769,-0.000273287,-0.00553165,-5.77221e-05,0.628217,0,-0.147294,0,-7.9355,0,-2.60223,-0,
4,0.0681121,-0.000348334,-0.00653711,-5.14981e-05,0.0889554,-0.000566387,-0.00173898,-0.000146614,0.0771625,-0.000322389,-0.00529318,-4.10184e-05,0.641277,0,-0.117377,0,-11.2059,0,-2.65466,-0,
5,0.0618799,-0.000393126,-0.00593678,-3.84504e-05,0.0874136,-0.000713164,-0.0013543,-0.00014682,0.0719965,-0.000356313,-0.00503657,-2.72861e-05,0.677458,0,0.491142,0,-14.5844,0,-5.19028,-0,
6,0.0562203,-0.000425916,-0.00539119,-2.74464e-05,0.0862284,-0.000859841,-0.00102474,-0.000146466,0.0670924,-0.000377804,-0.00477077,-1.6084e-05,0.654191,0,-0.447965,0,-17.8463,0,-1.77083,-0,
7,0.0510809,-0.000448608,-0.00489547,-1.82133e-05,0.0853483,-0.001006,-0.000742898,-0.000145816,0.0624558,-0.000389196,-0.00450241,-7.02747e-06,0.641615,0,0.0673178,0,-21.0451,0,-3.31511,-0,
8,0.0464142,-0.000462852,-0.00444518,-1.05119e-05,0.0847289,-0.00115144,-0.000502155,-0.00014506,0.0580868,-0.000392463,-0.00423636,2.16587e-07,0.653584,0,0.295917,0,-24.3267,0,-4.29511,-0,
9,0.0421768,-0.000470072,-0.00403622,-4.13256e-06,0.0843322,-0.00129613,-0.00029666,-0.000144333,0.0539812,-0.000389271,-0.00397613,5.93524e-06,0.681792,0,-0.370572,0,-27.7575,0,-2.23395,-0,
10,0.0383292,-0.000471497,-0.00366487,1.1084e-06,0.0841255,-0.00144014,-0.000121297,-0.000143726,0.0501318,-0.000381018,-0.00372416,1.0375e-05,0.633849,0,0.0861739,0,-30.8621,0,-3.39527,-0,
11,0.0348356,-0.000468181,-0.00332771,5.3715e-06,0.0840811,-0.00158364,2.83794e-05,-0.0001433,0.0465295,-0.000368876,-0.00348212,1.37469e-05,0.646859,0,0.10882,0,-34.1443,0,-3.53718,-0,
12,0.0316634,-0.000461033,-0.00302164,8.79692e-06,0.084175,-0.00172682,0.000156211,-0.000143089,0.0431639,-0.00035382,-0.00325106,1.62311e-05,0.69212,0,-0.0775852,0,-37.6087,0,-3.30914,-0,
13,0.028783,-0.000450826,-0.00274381,1.15069e-05,0.0843873,-0.0018699,0.000265502,-0.000143113,0.0400235,-0.000336659,-0.00303157,1.79811e-05,0.632659,0,-0.0677667,0,-40.7042,0,-2.92058,-0,
14,0.0261673,-0.000438222,-0.00249164,1.36079e-05,0.0847008,-0.00201312,0.00035908,-0.000143379,0.0370968,-0.000318059,-0.00282389,1.91274e-05,0.645271,0,0.0678471,0,-43.9871,0,-3.35127,-0,
15,0.0237919,-0.000423782,-0.00226277,1.51924e-05,0.085101,-0.00215673,0.000439363,-0.000143885,0.0343718,-0.000298568,-0.00262805,1.97806e-05,0.686642,0,0.138543,0,-47.4123,0,-3.9879,-0,
16,0.0216347,-0.000407982,-0.00205505,1.63408e-05,0.0855758,-0.00230097,0.000508411,-0.000144622,0.0318368,-0.000278631,-0.00244386,2.00345e-05,0.643222,0,-0.240162,0,-50.5844,0,-2.43641,-0,
17,0.0196754,-0.000391223,-0.00186653,1.71227e-05,0.0861147,-0.00244605,0.000567975,-0.000145582,0.0294803,-0.000258606,-0.00227101,1.99682e-05,0.640504,0,0.0955437,0,-53.823,0,-3.42861,-0,
18,0.0178958,-0.000373839,-0.00169544,1.75983e-05,0.0867091,-0.0025922,0.000619541,-0.000146749,0.0272911,-0.000238779,-0.00210912,1.96484e-05,0.676056,0,0.199517,0,-57.2084,0,-4.07689,-0,
19,0.0162793,-0.000356111,-0.00154016,1.78197e-05,0.0873515,-0.00273962,0.00066437,-0.00014811,0.0252586,-0.000219375,-0.00195773,1.9131e-05,0.660553,0,-0.299724,0,-60.4824,0,-2.35948,-0,
20,0.0148107,-0.000338269,-0.00139923,1.78316e-05,0.0880359,-0.00288848,0.000703529,-0.00014965,0.0233723,-0.000200567,-0.00181634,1.8463e-05,0.63352,0,0.0809554,0,-63.6536,0,-3.38024,-0,
21,0.0134765,-0.000320504,-0.00127132,1.76726e-05,0.088757,-0.00303897,0.000737919,-0.000151356,0.0216227,-0.000182486,-0.00168445,1.76834e-05,0.666234,0,0.190648,0,-67.0163,0,-3.93115,-0,
22,0.0122641,-0.00030297,-0.00115522,1.73756e-05,0.0895104,-0.00319124,0.000768305,-0.000153214,0.0200005,-0.000165226,-0.00156154,1.68247e-05,0.676227,0,-0.224295,0,-70.3697,0,-2.71104,-0,
23,0.0111624,-0.00028579,-0.00104983,1.6969e-05,0.0902925,-0.00334545,0.000795329,-0.000155212,0.0184968,-0.000148854,-0.0014471,1.59137e-05,0.629972,0,-0.0111738,0,-73.4964,0,-3.09801,-0,
24,0.0101612,-0.000269061,-0.000954168,1.64767e-05,0.0911002,-0.00350171,0.000819536,-0.000157337,0.0171036,-0.000133409,-0.00134063,1.49724e-05,0.656749,0,0.183712,0,-76.8324,0,-3.81811,-0,
25,0.00925118,-0.000252858,-0.000867318,1.59192e-05,0.0919308,-0.00366016,0.000841383,-0.00015958,0.0158131,-0.000118913,-0.00124164,1.40187e-05,0.684902,0,-0.083299,0,-80.231,0,-3.21722,-0,
26,0.00842392,-0.000237238,-0.000788467,1.53137e-05,0.0927823,-0.00382091,0.000861259,-0.000161932,0.014618,-0.000105371,-0.00114966,1.30669e-05,0.634088,0,-0.140853,0,-83.3631,0,-2.72693,-0,
27,0.00767182,-0.000222242,-0.000716873,1.46749e-05,0.0936528,-0.00398406,0.00087949,-0.000164383,0.0135115,-9.27744e-05,-0.00106424,1.21287e-05,0.646107,0,0.179135,0,-86.6497,0,-3.74086,-0,
28,0.00698798,-0.000207896,-0.000651861,1.40148e-05,0.0945408,-0.0041497,0.000896349,-0.000166927,0.0124875,-8.11057e-05,-0.000984937,1.12131e-05,0.685939,0,0.0492723,0,-90.0681,0,-3.62607,-0,
29,0.00636611,-0.000194216,-0.000592821,1.33436e-05,0.0954451,-0.00431794,0.000912069,-0.000169557,0.0115398,-7.03384e-05,-0.000911358,1.03269e-05,0.645906,0,-0.242263,0,-93.2511,0,-2.48143,-0,
30,0.00580053,-0.000181209,-0.0005392,1.26698e-05,0.0963646,-0.00448884,0.000926846,-0.000172267,0.010663,-6.04403e-05,-0.000843114,9.47549e-06,0.63536,0,0.143386,0,-96.4699,0,-3.58743,-0,
31,0.00528607,-0.000168875,-0.000490495,1.20001e-05,0.0972985,-0.0046625,0.000940843,-0.000175054,0.00985188,-5.13746e-05,-0.000779839,8.66253e-06,0.680766,0,0.147707,0,-99.8886,0,-3.87539,-0,
32,0.00481805,-0.000157206,-0.000446251,1.134e-05,0.0982461,-0.00483897,0.000954199,-0.000177911,0.00910174,-4.31016e-05,-0.000721192,7.8906e-06,0.661851,0,-0.267875,0,-103.147,0,-2.49547,-0,
33,0.00439222,-0.00014619,-0.000406055,1.06942e-05,0.0992067,-0.00501834,0.000967031,-0.000180837,0.00840806,-3.55792e-05,-0.000666851,7.16125e-06,0.627852,0,0.0577881,0,-106.302,0,-3.30141,-0,
34,0.00400472,-0.000135812,-0.000369533,1.00659e-05,0.10018,-0.00520067,0.000979437,-0.000183828,0.0077667,-2.87646e-05,-0.000616513,6.47522e-06,0.670624,0,0.213884,0,-109.698,0,-3.99995,-0,
35,0.00365204,-0.000126051,-0.000336345,9.458e-06,0.101165,-0.00538602,0.000991501,-0.00018688,0.00717379,-2.26143e-05,-0.000569896,5.83258e-06,0.676937,0,-0.20964,0,-113.035,0,-2.76266,-0,
36,0.00333102,-0.000116888,-0.000306183,8.8724e-06,0.102163,-0.00557445,0.00100329,-0.000189994,0.00662575,-1.70851e-05,-0.000526736,5.23287e-06,0.626961,0,-0.0642961,0,-116.156,0,-2.93348,-0,
37,0.00303876,-0.000108299,-0.000278768,8.31052e-06,0.103172,-0.00576603,0.00101487,-0.000193165,0.00611925,-1.21345e-05,-0.000486785,4.67523e-06,0.656819,0,0.243363,0,-119.501,0,-4.00687,-0,
38,0.00277265,-0.000100259,-0.000253846,7.77332e-06,0.104193,-0.0059608,0.00102628,-0.000196394,0.00565119,-7.72106e-06,-0.000449812,4.15843e-06,0.686903,0,-0.0926315,0,-122.902,0,-3.17408,-0,
39,0.00253032,-9.27437e-05,-0.000231189,7.26131e-06,0.105225,-0.00615883,0.00103757,-0.000199679,0.00521871,-3.80454e-06,-0.000415604,3.68103e-06,0.634163,0,-0.186888,0,-126.033,0,-2.60155,-0,
40,0.00230959,-8.57278e-05,-0.000210587,6.77471e-06,0.106268,-0.00636018,0.00104878,-0.000203019,0.00481913,-3.46405e-07,-0.000383958,3.24138e-06,0.641802,0,0.222664,0,-129.305,0,-3.86785,-0,
41,0.00210852,-7.91858e-05,-0.000191852,6.31342e-06,0.107322,-0.00656489,0.00105993,-0.000206414,0.00445,2.69022e-06,-0.000354688,2.83772e-06,0.689209,0,0.0468757,0,-132.744,0,-3.60279,-0,
42,0.00192532,-7.30926e-05,-0.000174812,5.87715e-06,0.108388,-0.00677302,0.00107105,-0.000209863,0.00410902,5.34041e-06,-0.000327621,2.46818e-06,0.648293,0,-0.268674,0,-135.927,0,-2.42858,-0,
43,0.00175838,-6.74233e-05,-0.000159312,5.46542e-06,0.109464,-0.00698463,0.00108216,-0.000213366,0.00379408,7.63733e-06,-0.000302594,2.13087e-06,0.629183,0,0.145451,0,-139.12,0,-3.57575,-0,
44,0.00160623,-6.21538e-05,-0.000145211,5.0776e-06,0.110552,-0.00719977,0.00109327,-0.000216922,0.0035032,9.61225e-06,-0.000279458,1.82387e-06,0.683128,0,0.17524,0,-142.561,0,-3.94924,-0,
45,0.00146754,-5.72604e-05,-0.00013238,4.71295e-06,0.111651,-0.0074185,0.00110442,-0.000220532,0.00323458,1.12945e-05,-0.000258072,1.54529e-06,0.665847,0,-0.278791,0,-145.826,0,-2.49126,-0,
46,0.00134109,-5.27204e-05,-0.000120704,4.37066e-06,0.112761,-0.00764085,0.00111559,-0.000224195,0.00298652,1.27117e-05,-0.000238307,1.29324e-06,0.62263,0,0.0228454,0,-148.955,0,-3.17747,-0,
47,0.00122578,-4.85119e-05,-0.000110076,4.04986e-06,0.113882,-0.0078669,0.00112682,-0.000227913,0.00275746,1.38893e-05,-0.000220043,1.0659e-06,0.669778,0,0.262656,0,-152.36,0,-4.13724,-0,
48,0.00112062,-4.46139e-05,-0.000100403,3.74961e-06,0.115014,-0.0080967,0.00113811,-0.000231684,0.00254597,1.48511e-05,-0.000203167,8.61488e-07,0.682001,0,-0.207964,0,-155.714,0,-2.79034,-0,
49,0.00102469,-4.10062e-05,-9.15953e-05,3.46898e-06,0.116158,-0.00833029,0.00114946,-0.00023551,0.0023507,1.56193e-05,-0.000187576,6.78313e-07,0.624582,0,-0.118081,0,-158.817,0,-2.76517,-0,
50,0.000937166,-3.76697e-05,-8.35756e-05,3.20702e-06,0.117313,-0.00856774,0.00116089,-0.000239391,0.00217042,1.62143e-05,-0.000173173,5.14739e-07,0.652161,0,0.285775,0,-162.15,0,-4.11516,-0,
51,0.000857299,-3.45862e-05,-7.6272e-05,2.96276e-06,0.11848,-0.00880909,0.0011724,-0.000243327,0.00200399,1.66548e-05,-0.00015987,3.69215e-07,0.69198,0,-0.0721144,0,-165.578,0,-3.25027,-0,
52,0.000784405,-3.17386e-05,-6.96196e-05,2.73527e-06,0.119658,-0.00905441,0.00118399,-0.000247319,0.00185034,1.69582e-05,-0.000147583,2.40268e-07,0.635388,0,-0.241225,0,-168.703,0,-2.45004,-0,
53,0.000717862,-2.91104e-05,-6.35592e-05,2.52361e-06,0.120848,-0.00930375,0.00119568,-0.000251367,0.00170851,1.71404e-05,-0.000136236,1.26511e-07,0.634672,0,0.235521,0,-171.945,0,-3.8768,-0,
54,0.000657107,-2.66864e-05,-5.80373e-05,2.32687e-06,0.12205,-0.00955716,0.00120746,-0.000255472,0.00157758,1.72159e-05,-0.000125758,2.6636e-08,0.692455,0,0.0919187,0,-175.411,0,-3.74315,-0,
55,0.000601625,-2.4452e-05,-5.30053e-05,2.14417e-06,0.123263,-0.00981471,0.00121933,-0.000259634,0.00145673,1.71979e-05,-0.000116083,-6.0582e-08,0.652966,0,-0.309503,0,-178.604,0,-2.33433,-0,
56,0.000550948,-2.23936e-05,-4.84189e-05,1.97466e-06,0.124488,-0.0100765,0.00123131,-0.000263854,0.00134517,1.70985e-05,-0.00010715,-1.36288e-07,0.621971,0,0.121391,0,-181.759,0,-3.47181,-0,
57,0.000504652,-2.04986e-05,-4.4238e-05,1.81752e-06,0.125726,-0.0103424,0.00124339,-0.000268133,0.0012422,1.69288e-05,-9.89033e-05,-2.0155e-07,0.682655,0,0.236536,0,-185.214,0,-4.12481,-0,
58,0.000462349,-1.87547e-05,-4.0426e-05,1.67196e-06,0.126975,-0.0106127,0.00125558,-0.000272472,0.00114715,1.66986e-05,-9.12901e-05,-2.57359e-07,0.673001,0,-0.294709,0,-188.505,0,-2.48113,-0,
59,0.000423688,-1.7151e-05,-3.69498e-05,1.53723e-06,0.128237,-0.0108874,0.00126788,-0.00027687,0.00105942,1.64169e-05,-8.42624e-05,-3.04635e-07,0.617746,0,-0.031461,0,-191.601,0,-2.99276,-0,
60,0.000388347,-1.56769e-05,-3.37793e-05,1.41262e-06,0.129511,-0.0111665,0.00128029,-0.000281329,0.000978446,1.60919e-05,-7.77755e-05,-3.44229e-07,0.664834,0,0.31825,0,-194.996,0,-4.27853,-0,
61,0.000356036,-1.43226e-05,-3.08871e-05,1.29745e-06,0.130797,-0.0114501,0.00129281,-0.000285849,0.000903704,1.57308e-05,-7.1788e-05,-3.76926e-07,0.689796,0,-0.18944,0,-198.389,0,-2.88279,-0,
62,0.000326489,-1.30791e-05,-2.82483e-05,1.19107e-06,0.132097,-0.0117382,0.00130545,-0.000290432,0.000834716,1.53401e-05,-6.62617e-05,-4.03449e-07,0.623789,0,-0.187931,0,-201.472,0,-2.55376,-0,
63,0.000299463,-1.19377e-05,-2.58402e-05,1.09288e-06,0.133408,-0.012031,0.00131821,-0.000295077,0.000771039,1.49257e-05,-6.11615e-05,-4.24462e-07,0.643717,0,0.312723,0,-204.774,0,-4.15557,-0,
64,0.000274738,-1.08908e-05,-2.36423e-05,1.0023e-06,0.134733,-0.0123284,0.00133108,-0.000299786,0.000712263,1.44928e-05,-5.64544e-05,-4.40573e-07,0.697846,0,-0.0164146,0,-208.242,0,-3.44244,-0,
65,0.000252114,-9.93078e-06,-2.16359e-05,9.18799e-07,0.136071,-0.0126306,0.00134408,-0.00030456,0.000658009,1.4046e-05,-5.21105e-05,-4.52339e-07,0.639431,0,-0.30787,0,-211.369,0,-2.27241,-0,
66,0.000231408,-9.05098e-06,-1.9804e-05,8.41858e-07,0.137421,-0.0129375,0.00135719,-0.000309398,0.00060793,1.35894e-05,-4.81018e-05,-4.60268e-07,0.625078,0,0.221357,0,-214.565,0,-3.78839,-0,
67,0.000212454,-8.24503e-06,-1.8131e-05,7.71006e-07,0.138785,-0.0132494,0.00137043,-0.000314303,0.000561702,1.31266e-05,-4.44026e-05,-4.64824e-07,0.693832,0,0.17316,0,-218.056,0,-3.99013,-0,
68,0.000195098,-7.50708e-06,-1.66028e-05,7.05797e-07,0.140162,-0.0135662,0.0013838,-0.000319275,0.000519029,1.26607e-05,-4.09889e-05,-4.66426e-07,0.661299,0,-0.352009,0,-221.276,0,-2.25003,-0,
69,0.000179204,-6.8317e-06,-1.52068e-05,6.45812e-07,0.141553,-0.0138879,0.00139729,-0.000324314,0.000479637,1.21946e-05,-3.78389e-05,-4.65456e-07,0.614127,0,0.0670283,0,-224.383,0,-3.27095,-0,
70,0.000164644,-6.21385e-06,-1.39312e-05,5.90662e-07,0.142957,-0.0142148,0.00141091,-0.000329422,0.00044327,1.17306e-05,-3.49322e-05,-4.62261e-07,0.678161,0,0.31716,0,-227.836,0,-4.34262,-0,
71,0.000151305,-5.64888e-06,-1.27653e-05,5.39982e-07,0.144375,-0.0145468,0.00142466,-0.000334599,0.000409697,1.12707e-05,-3.225e-05,-4.57151e-07,0.683588,0,-0.293289,0,-231.176,0,-2.53853,-0,
72,0.00013908,-5.13251e-06,-1.16996e-05,4.93433e-07,0.145806,-0.014884,0.00143854,-0.000339847,0.000378701,1.08168e-05,-2.9775e-05,-4.50409e-07,0.614281,0,-0.114292,0,-234.235,0,-2.72792,-0,
73,0.000127875,-4.66075e-06,-1.07253e-05,4.50698e-07,0.147252,-0.0152265,0.00145255,-0.000345165,0.000350084,1.03704e-05,-2.74912e-05,-4.42286e-07,0.655091,0,0.368654,0,-237.6,0,-4.3811,-0,
74,0.000117602,-4.22994e-06,-9.83428e-06,4.11484e-07,0.148711,-0.0155744,0.00146669,-0.000350556,0.00032366,9.93262e-06,-2.53839e-05,-4.3301e-07,0.699263,0,-0.133602,0,-241.048,0,-3.09648,-0,
75,0.000108181,-3.8367e-06,-9.01931e-06,3.75515e-07,0.150185,-0.0159277,0.00148097,-0.000356019,0.000299262,9.50465e-06,-2.34393e-05,-4.22782e-07,0.62641,0,-0.279355,0,-244.12,0,-2.29345,-0,
76,9.95402e-05,-3.47791e-06,-8.27375e-06,3.4254e-07,0.151673,-0.0162865,0.00149538,-0.000361556,0.000276732,9.08731e-06,-2.16449e-05,-4.11784e-07,0.631262,0,0.313247,0,-247.367,0,-4.0956,-0,
77,9.16126e-05,-3.1507e-06,-7.59154e-06,3.12321e-07,0.153176,-0.0166508,0.00150993,-0.000367168,0.000255926,8.68129e-06,-1.9989e-05,-4.00177e-07,0.702381,0,0.0844672,0,-250.877,0,-3.76614,-0,
78,8.43379e-05,-2.85242e-06,-6.96718e-06,2.84641e-07,0.154693,-0.0170208,0.00152462,-0.000372856,0.000236711,8.28711e-06,-1.84611e-05,-3.88103e-07,0.64834,0,-0.381197,0,-254.028,0,-2.09776,-0,
79,7.76607e-05,-2.58064e-06,-6.39564e-06,2.59297e-07,0.156225,-0.0173965,0.00153945,-0.00037862,0.000218964,7.90519e-06,-1.7051e-05,-3.75688e-07,0.613534,0,0.168119,0,-257.159,0,-3.57166,-0,
80,7.15305e-05,-2.33311e-06,-5.87234e-06,2.36102e-07,0.157772,-0.0177781,0.00155442,-0.000384462,0.000202573,7.53581e-06,-1.57498e-05,-3.63042e-07,0.690761,0,0.287053,0,-260.662,0,-4.31532,-0,
81,6.59013e-05,-2.10777e-06,-5.39311e-06,2.14883e-07,0.159334,-0.0181655,0.00156954,-0.000390383,0.000187431,7.17916e-06,-1.45489e-05,-3.50262e-07,0.674669,0,-0.376998,0,-263.939,0,-2.24236,-0,
82,6.07309e-05,-1.90274e-06,-4.95415e-06,1.95478e-07,0.160911,-0.0185589,0.00158479,-0.000396382,0.000173444,6.83531e-06,-1.34406e-05,-3.37435e-07,0.607175,0,-0.0297067,0,-266.989,0,-2.94647,-0,
83,5.59808e-05,-1.71626e-06,-4.55198e-06,1.77741e-07,0.162504,-0.0189583,0.0016002,-0.000402463,0.000160522,6.50428e-06,-1.24178e-05,-3.24632e-07,0.66736,0,0.401891,0,-270.415,0,-4.54245,-0,
84,5.16157e-05,-1.54675e-06,-4.18345e-06,1.61535e-07,0.164112,-0.0193638,0.00161575,-0.000408624,0.000148582,6.18601e-06,-1.14738e-05,-3.11917e-07,0.697405,0,-0.246457,0,-273.829,0,-2.74798,-0,
85,4.76036e-05,-1.39272e-06,-3.84566e-06,1.46733e-07,0.165735,-0.0197756,0.00163144,-0.000414869,0.00013755,5.8804e-06,-1.06024e-05,-2.99345e-07,0.614764,0,-0.233124,0,-276.858,0,-2.37421,-0,
86,4.3915e-05,-1.25285e-06,-3.53599e-06,1.3322e-07,0.167375,-0.0201936,0.00164729,-0.000421197,0.000127355,5.58726e-06,-9.79817e-06,-2.86962e-07,0.639277,0,0.391768,0,-280.161,0,-4.37152,-0,
87,4.05231e-05,-1.12589e-06,-3.25204e-06,1.20888e-07,0.16903,-0.020618,0.00166329,-0.000427609,0.000117933,5.3064e-06,-9.05577e-06,-2.74806e-07,0.708169,0,-0.0153898,0,-283.675,0,-3.49507,-0,
88,3.74031e-05,-1.01071e-06,-2.99161e-06,1.09638e-07,0.170701,-0.0210488,0.00167944,-0.000434107,0.000109224,5.03756e-06,-8.37043e-06,-2.62911e-07,0.635499,0,-0.38857,0,-286.761,0,-2.01159,-0,
89,3.45327e-05,-9.06284e-07,-2.75269e-06,9.93807e-08,0.172389,-0.0214862,0.00169574,-0.000440692,0.000101174,4.78048e-06,-7.73774e-06,-2.51302e-07,0.615068,0,0.263628,0,-289.926,0,-3.86606,-0,
90,3.18912e-05,-8.1165e-07,-2.53348e-06,9.00313e-08,0.174093,-0.0219302,0.0017122,-0.000447364,9.37325e-05,4.53485e-06,-7.15363e-06,-2.40002e-07,0.70176,0,0.238518,0,-293.466,0,-4.22459,-0,
91,2.94597e-05,-7.25944e-07,-2.33228e-06,8.15132e-08,0.175813,-0.022381,0.00172881,-0.000454125,8.68522e-05,4.30037e-06,-6.61432e-06,-2.29026e-07,0.664661,0,-0.440185,0,-296.679,0,-2.00268,-0,
92,2.72211e-05,-6.4837e-07,-2.14759e-06,7.37557e-08,0.17755,-0.0228385,0.00174558,-0.000460976,8.04901e-05,4.07669e-06,-6.11635e-06,-2.18388e-07,0.602083,0,0.0551109,0,-299.73,0,-3.17562,-0,
93,2.51595e-05,-5.78201e-07,-1.97801e-06,6.66939e-08,0.179304,-0.023303,0.00176252,-0.000467918,7.46068e-05,3.86348e-06,-5.65652e-06,-2.08096e-07,0.679153,0,0.417828,0,-303.21,0,-4.64929,-0,
94,2.32605e-05,-5.1477e-07,-1.82227e-06,6.02682e-08,0.181076,-0.0237744,0.00177961,-0.000474953,6.91654e-05,3.66038e-06,-5.23188e-06,-1.98158e-07,0.693678,0,-0.346331,0,-306.584,0,-2.42949,-0,
95,2.15107e-05,-4.57471e-07,-1.67921e-06,5.44238e-08,0.182864,-0.0242529,0.00179687,-0.00048208,6.41322e-05,3.46704e-06,-4.8397e-06,-1.88576e-07,0.604795,0,-0.181495,0,-309.581,0,-2.47938,-0,
96,1.98982e-05,-4.05746e-07,-1.54776e-06,4.91105e-08,0.184669,-0.0247386,0.00181428,-0.000489303,5.9476e-05,3.28311e-06,-4.47748e-06,-1.79352e-07,0.647528,0,0.456834,0,-312.935,0,-4.60808,-0,
97,1.84117e-05,-3.59088e-07,-1.42696e-06,4.42821e-08,0.186492,-0.0252315,0.00183187,-0.00049662,5.5168e-05,3.10822e-06,-4.1429e-06,-1.70483e-07,0.71192,0,-0.111945,0,-316.445,0,-3.22394,-0,
98,1.7041e-05,-3.17034e-07,-1.31592e-06,3.98965e-08,0.188333,-0.0257319,0.00184962,-0.000504035,5.11817e-05,2.94202e-06,-3.83382e-06,-1.61968e-07,0.623859,0,-0.385498,0,-319.477,0,-1.9627,-0,
99,1.57768e-05,-2.7916e-07,-1.21382e-06,3.59148e-08,0.190192,-0.0262396,0.00186754,-0.000511547,4.74925e-05,2.78417e-06,-3.54829e-06,-1.53803e-07,0.617223,0,0.347987,0,-322.673,0,-4.13,-0,
100,1.46106e-05,-2.45081e-07,-1.11993e-06,3.23017e-08,0.192068,-0.026755,0.00188563,-0.000519159,4.40779e-05,2.6343e-06,-3.28447e-06,-1.45981e-07,0.710938,0,0.18708,0,-326.242,0,-4.11606,-0,
0,0.1,0,-0.0096,-0.000131,0.1,0,-0.004,-0.000131,0.1,0,-0.006,-0.000131,0.628319,0,-0.75,0,2.51327,0,-0.641593,-0,
1,0.0908458,-0.000118294,-0.00872228,-0.000106223,0.0963538,-0.000134984,-0.00330829,-0.000138411,0.094042,-0.000116142,-0.00590303,-0.000102117,0.553936,0,-0.112278,0,-0.164534,0,-2.33753,-0,
2,0.082529,-0.000213633,-0.00792378,-8.50079e-05,0.0933533,-0.000275873,-0.00270699,-0.000142966,0.0882159,-0.000205788,-0.00574014,-7.78996e-05,0.572791,0,0.142249,0,-3.13659,0,-3.22172,-0,
3,0.0749741,-0.000289345,-0.00719751,-6.68997e-05,0.0909127,-0.000420241,-0.00218695,-0.000145489,0.0825769,-0.000273287,-0.00553165,-5.77221e-05,0.565535,0,-0.149549,0,-6.02255,0,-2.18976,-0,
4,0.0681121,-0.000348334,-0.00653711,-5.14981e-05,0.0889554,-0.000566387,-0.00173898,-0.000146614,0.0771625,-0.000322389,-0.00529318,-4.10184e-05,0.579521,0,0.394842,0,-8.99125,0,-4.28549,-0,
5,0.0618799,-0.000393126,-0.00593678,-3.84504e-05,0.0874136,-0.000713164,-0.0013543,-0.00014682,0.0719965,-0.000356313,-0.00503657,-2.72861e-05,0.646117,0,0.213768,0,-12.2026,0,-4.11294,-0,
6,0.0562203,-0.000425916,-0.00539119,-2.74464e-05,0.0862284,-0.000859841,-0.00102474,-0.000146466,0.0670924,-0.000377804,-0.00477077,-1.6084e-05,0.607142,0,-0.510543,0,-15.0666,0,-1.34139,-0,
7,0.0510809,-0.000448608,-0.00489547,-1.82133e-05,0.0853483,-0.001006,-0.000742898,-0.000145816,0.0624558,-0.000389196,-0.00450241,-7.02747e-06,0.561891,0,-0.0416945,0,-17.8519,0,-2.63335,-0,
8,0.0464142,-0.000462852,-0.00444518,-1.05119e-05,0.0847289,-0.00115144,-0.000502155,-0.00014506,0.0580868,-0.000392463,-0.00423636,2.16587e-07,0.571941,0,0.0591792,0,-20.8073,0,-2.95412,-0,
9,0.0421768,-0.000470072,-0.00403622,-4.13256e-06,0.0843322,-0.00129613,-0.00029666,-0.000144333,0.0539812,-0.000389271,-0.00397613,5.93524e-06,0.573039,0,0.031968,0,-23.7326,0,-2.88427,-0,
10,0.0383292,-0.000471497,-0.00366487,1.1084e-06,0.0841255,-0.00144014,-0.000121297,-0.000143726,0.0501318,-0.000381018,-0.00372416,1.0375e-05,0.60467,0,0.345508,0,-26.7849,0,-4.24836,-0,
11,0.0348356,-0.000468181,-0.00332771,5.3715e-06,0.0840811,-0.00158364,2.83794e-05,-0.0001433,0.0465295,-0.000368876,-0.00348212,1.37469e-05,0.634644,0,-0.0841288,0,-29.8799,0,-2.9951,-0,
